1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
-0.002527,0.000470,0.000355,-0.000130,-0.000351,-0.000702,0.000007,0.000222,0.197408,0.017636,0.017314,0.012272,0.012241,0.008717,0.008575,0.024071
-0.002078,0.000427,0.000324,-0.000230,-0.000475,-0.000826,0.000008,0.000237,0.198948,0.017847,0.017425,0.012372,0.012348,0.008822,0.008593,0.025727
-0.001834,0.000351,0.000293,-0.000295,-0.000566,-0.000891,0.000008,0.000248,0.199936,0.017995,0.017505,0.012443,0.012427,0.008896,0.008603,0.026715
-0.001640,0.000280,0.000256,-0.000345,-0.000642,-0.000936,0.000008,0.000249,0.200629,0.018106,0.017568,0.012501,0.012492,0.008954,0.008610,0.027388
1_mean,2_mean,3_mean,4_mean,5_mean,6_mean,7_mean,8_mean,1_std,2_std,3_std,4_std,5_std,6_std,7_std,8_std
-0.000355,0.000522,0.000270,-0.000128,-0.000341,-0.000720,-0.000004,-0.000012,0.198440,0.017522,0.017318,0.012275,0.012240,0.008722,0.008573,0.024069
0.000379,0.000444,0.000237,-0.000226,-0.000486,-0.000843,-0.000004,-0.000013,0.199798,0.017726,0.017426,0.012369,0.012349,0.008831,0.008590,0.025595
0.000587,0.000372,0.000220,-0.000285,-0.000567,-0.000913,-0.000004,-0.000005,0.200686,0.017870,0.017501,0.012435,0.012430,0.008907,0.008600,0.026518
0.000755,0.000299,0.000195,-0.000329,-0.000642,-0.000966,-0.000004,0.000001,0.201323,0.017979,0.017561,0.012488,0.012495,0.008967,0.008606,0.027162
0.000990,0.000245,0.000170,-0.000376,-0.000699,-0.001002,-0.000004,0.000005,0.201813,0.018069,0.017610,0.012534,0.012552,0.009018,0.008612,0.027651
0.001014,0.000226,0.000166,-0.000415,-0.000735,-0.001027,-0.000004,0.000009,0.202323,0.018155,0.017659,0.012578,0.012604,0.009065,0.008617,0.028130
0.001178,0.000202,0.000150,-0.000453,-0.000763,-0.001057,-0.000004,0.000010,0.202733,0.018226,0.017701,0.012617,0.012650,0.009105,0.008621,0.028515
